,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
33,34,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
59,60,2002,The Lord of the Rings: The Two Towers,"$919,148,764","$342,548,984","$576,599,780"
90,91,1982,E.T. the Extra-Terrestrial,"$792,962,972","$435,110,554","$357,852,418"
112,114,2010,Inception,"$728,582,465","$292,576,195","$436,006,270"
127,129,1994,Forrest Gump,"$679,838,260","$330,151,138","$349,687,122"
130,132,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
187,189,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000"
226,229,1998,Saving Private Ryan,"$485,035,085","$216,335,085","$268,700,000"
259,262,2012,Django Unchained,"$449,841,566","$162,805,434","$287,036,132"
264,267,2016,La La Land,"$445,607,848","$151,101,803","$294,506,045"
282,285,1973,The Exorcist,"$428,214,478","$230,347,346","$197,867,132"
287,290,1990,Dances with Wolves,"$424,208,805","$184,208,842","$239,999,963"
295,298,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565"
325,329,2008,Slumdog Millionaire,"$383,825,427","$141,330,703","$242,494,724"
346,350,2015,Mad Max: Fury Road,"$367,457,874","$153,636,354","$213,821,520"
347,351,1981,Raiders of the Lost Ark,"$367,452,079","$225,686,079","$141,766,000"
447,452,1987,Fatal Attraction,"$320,100,000","$156,645,693","$163,454,307"
454,459,2009,Inglourious Basterds,"$316,915,264","$120,774,594","$196,140,670"
517,523,2006,The Departed,"$289,660,619","$132,384,315","$157,276,304"
536,542,1998,Shakespeare in Love,"$279,500,000","$100,317,794","$179,182,206"
550,556,1996,Jerry Maguire,"$273,552,592","$153,952,592","$119,600,000"
562,568,1972,The Godfather,"$268,500,000","$134,966,411","$133,533,589"
585,591,1997,The Full Monty,"$261,249,383","$45,950,122","$215,299,261"
593,599,2013,American Hustle,"$257,858,943","$150,098,456","$107,760,487"
